PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"12750981","The effect of dopamine on glomerular filtration rate in normotensive, oliguric premature neonates","Lynch SK, Lemley KV, Polak MJ.","Pediatr Nephrol. 2003 Jul;18(7):649-52. doi: 10.1007/s00467-003-1148-7. Epub 2003 May 16.","Lynch SK","Pediatr Nephrol","2003","2003/05/17","","","10.1007/s00467-003-1148-7"
"7475155","Elevated arginine vasopressin and lowered atrial natriuretic factor associated with hypertension in coarctation of the aorta","Stewart JM, Gewitz MH, Woolf PK, Niguidula F, Fish BG, Zeballos GA.","J Thorac Cardiovasc Surg. 1995 Oct;110(4 Pt 1):900-8. doi: 10.1016/s0022-5223(05)80156-4.","Stewart JM","J Thorac Cardiovasc Surg","1995","1995/10/01","","","10.1016/s0022-5223(05)80156-4"
"25280267","Minoxidil-associated anorexia in an infant with refractory hypertension","Vesoulis ZA, Attarian SJ, Zeller B, Cole FS.","Pharmacotherapy. 2014 Dec;34(12):e341-4. doi: 10.1002/phar.1495. Epub 2014 Oct 3.","Vesoulis ZA","Pharmacotherapy","2014","2014/10/04","","","10.1002/phar.1495"
"20727442","Vasopressin for refractory hypotension in extremely low birth weight infants","Bidegain M, Greenberg R, Simmons C, Dang C, Cotten CM, Smith PB.","J Pediatr. 2010 Sep;157(3):502-4. doi: 10.1016/j.jpeds.2010.04.038. Epub 2010 Jun 17.","Bidegain M","J Pediatr","2010","2010/08/24","PMC3073313","NIHMS279104","10.1016/j.jpeds.2010.04.038"
"26372882","Determination of the 90% effective dose (ED90) of phenylephrine for hypotension during elective cesarean delivery using a continual reassessment method","Liu H, Huang Y, Diao M, Li H, Ma Y, Lin X, Zhou J.","Eur J Obstet Gynecol Reprod Biol. 2015 Nov;194:136-40. doi: 10.1016/j.ejogrb.2015.07.001. Epub 2015 Jul 17.","Liu H","Eur J Obstet Gynecol Reprod Biol","2015","2015/09/16","","","10.1016/j.ejogrb.2015.07.001"
"24503912","Evolving blood pressure dynamics for extremely preterm infants","Batton B, Li L, Newman NS, Das A, Watterberg KL, Yoder BA, Faix RG, Laughon MM, Stoll BJ, Higgins RD, Walsh MC; Eunice Kennedy Shriver National Institute of Child Health and Human Development Neonatal Research Network.","J Perinatol. 2014 Apr;34(4):301-5. doi: 10.1038/jp.2014.6. Epub 2014 Feb 6.","Batton B","J Perinatol","2014","2014/02/08","PMC3982788","NIHMS553848","10.1038/jp.2014.6"
"1451219","Spinal anaesthesia with lidocaine 2% for caesarean section","Kumar A, Bala I, Bhukal I, Singh H.","Can J Anaesth. 1992 Nov;39(9):915-9. doi: 10.1007/BF03008339.","Kumar A","Can J Anaesth","1992","1992/11/01","","","10.1007/BF03008339"
"19369086","Pleural effusions, water balance mediators and the influence of lisinopril after completion Fontan procedures","François K, Bové T, De Groote K, Panzer J, Vandekerckhove K, Suys B, De Wolf D, Van Nooten G.","Eur J Cardiothorac Surg. 2009 Jul;36(1):57-62. doi: 10.1016/j.ejcts.2009.02.059. Epub 2009 Apr 14.","François K","Eur J Cardiothorac Surg","2009","2009/04/17","","","10.1016/j.ejcts.2009.02.059"
"10434864","Dopamine use is an indicator for the development of threshold retinopathy of prematurity","Mizoguchi MB, Chu TG, Murphy FM, Willits N, Morse LS.","Br J Ophthalmol. 1999 Apr;83(4):425-8. doi: 10.1136/bjo.83.4.425.","Mizoguchi MB","Br J Ophthalmol","1999","1999/08/06","PMC1723003","","10.1136/bjo.83.4.425"
"16775620","Early neonatal hypotension in premature infants born to preeclamptic mothers","Teng RJ, Wu TJ, Sharma R, Garrison RD, Hudak ML.","J Perinatol. 2006 Aug;26(8):471-5. doi: 10.1038/sj.jp.7211558. Epub 2006 Jun 15.","Teng RJ","J Perinatol","2006","2006/06/16","","","10.1038/sj.jp.7211558"
"25176085","[Stereological study of the placenta in patients receiving different vasopressors for hypotension during cesarean section]","Xu T, Li Y, Zhou J, Shuai B, Li Y, Mai W, Yan Y, Nie C, Li J.","Nan Fang Yi Ke Da Xue Xue Bao. 2014 Jul;34(8):1154-7.","Xu T","Nan Fang Yi Ke Da Xue Xue Bao","2014","2014/09/02","","",""
"16469127","Rescue treatment with terlipressin in children with refractory septic shock: a clinical study","Rodríguez-Núñez A, López-Herce J, Gil-Antón J, Hernández A, Rey C; RETSPED Working Group of the Spanish Society of Pediatric Intensive Care.","Crit Care. 2006 Feb;10(1):R20. doi: 10.1186/cc3984.","Rodríguez-Núñez A","Crit Care","2006","2006/02/14","PMC1550859","","10.1186/cc3984"
"17545944","The hemodynamic effects of dobutamine during reoxygenation after hypoxia: a dose-response study in newborn pigs","Al-Salam Z, Johnson S, Abozaid S, Bigam D, Cheung PY.","Shock. 2007 Sep;28(3):317-25. doi: 10.1097/shk.0b013e318048554a.","Al-Salam Z","Shock","2007","2007/06/05","","","10.1097/shk.0b013e318048554a"
"23736130","Neonatal circulatory failure due to acute hypertensive crisis: clinical and echocardiographic clues","Louw J, Brown S, Thewissen L, Smits A, Eyskens B, Heying R, Cools B, Levtchenko E, Allegaert K, Gewillig M.","Cardiovasc J Afr. 2013 Apr;24(3):72-5. doi: 10.5830/CVJA-2013-003.","Louw J","Cardiovasc J Afr","2013","2013/06/06","PMC3721817","","10.5830/CVJA-2013-003"
"15106166","Early volume expansion for prevention of morbidity and mortality in very preterm infants","Osborn DA, Evans N.","Cochrane Database Syst Rev. 2004;2004(2):CD002055. doi: 10.1002/14651858.CD002055.pub2.","Osborn DA","Cochrane Database Syst Rev","2004","2004/04/24","PMC7025803","","10.1002/14651858.CD002055.pub2"
"20632667","Comparison of intravenous ephedrine with phenylephrine for the maintenance of arterial blood pressure during elective caesarean section under spinal anaesthesia","Adigun TA, Amanor-Boadu SD, Soyannwo OA.","Afr J Med Med Sci. 2010 Mar;39(1):13-20.","Adigun TA","Afr J Med Med Sci","2010","2010/07/17","","",""
"19491991","Retrospective cohort study of 163 pediatric glaucoma patients","Bussières JF, Therrien R, Hamel P, Barret P, Prot-Labarthe S.","Can J Ophthalmol. 2009 Jun;44(3):323-7. doi: 10.3129/i09-065.","Bussières JF","Can J Ophthalmol","2009","2009/06/04","","","10.3129/i09-065"
"16480471","Similar onset time of 2-chloroprocaine and lidocaine + epinephrine for epidural anesthesia for elective Cesarean section","Bjørnestad E, Iversen OL, Raeder J.","Acta Anaesthesiol Scand. 2006 Mar;50(3):358-63. doi: 10.1111/j.1399-6576.2006.00937.x.","Bjørnestad E","Acta Anaesthesiol Scand","2006","2006/02/17","","","10.1111/j.1399-6576.2006.00937.x"
"19373493","Nephrogenic diabetes insipidus: treat with caution","Boussemart T, Nsota J, Martin-Coignard D, Champion G.","Pediatr Nephrol. 2009 Sep;24(9):1761-3. doi: 10.1007/s00467-009-1187-9. Epub 2009 Apr 17.","Boussemart T","Pediatr Nephrol","2009","2009/04/18","","","10.1007/s00467-009-1187-9"
"22710735","Use of milrinone to treat cardiac dysfunction in infants with pulmonary hypertension secondary to congenital diaphragmatic hernia: a review of six patients","Patel N.","Neonatology. 2012;102(2):130-6. doi: 10.1159/000339108. Epub 2012 Jun 16.","Patel N","Neonatology","2012","2012/06/20","","","10.1159/000339108"
"1444551","Effect of patency of the ductus arteriosus on blood pressure in very preterm infants","Evans N, Moorcraft J.","Arch Dis Child. 1992 Oct;67(10 Spec No):1169-73. doi: 10.1136/adc.67.10_spec_no.1169.","Evans N","Arch Dis Child","1992","1992/10/01","PMC1590460","","10.1136/adc.67.10_spec_no.1169"
"6782220","The independent effects of hyperventilation, tolazoline, and dopamine on infants with persistent pulmonary hypertension","Drummond WH, Gregory GA, Heymann MA, Phibbs RA.","J Pediatr. 1981 Apr;98(4):603-11. doi: 10.1016/s0022-3476(81)80775-5.","Drummond WH","J Pediatr","1981","1981/04/01","","","10.1016/s0022-3476(81)80775-5"
"21724004","Effects of prophylactic continuous infusion of phenylephrine on reducing the mass of local anesthetic in patients undergoing spinal anesthesia for cesarean section","de Souza VP, do Amaral JL, Tardelli MÂ, Yamashita AM.","Rev Bras Anestesiol. 2011 Jul-Aug;61(4):409-24. doi: 10.1016/S0034-7094(11)70049-6.","de Souza VP","Rev Bras Anestesiol","2011","2011/07/05","","","10.1016/S0034-7094(11)70049-6"
"4027295","Effect of low-dose dopamine infusion on prolactin and thyrotropin secretion in preterm infants with hyaline membrane disease","Seri I, Tulassay T, Kiszel J, Ruppert F, Sulyok E, Ertl T, Bódis J, Csömör S.","Biol Neonate. 1985;47(6):317-22. doi: 10.1159/000242134.","Seri I","Biol Neonate","1985","1985/01/01","","","10.1159/000242134"
"7736740","Increased serum nitrite and nitrate concentrations in children with the sepsis syndrome","Wong HR, Carcillo JA, Burckart G, Shah N, Janosky JE.","Crit Care Med. 1995 May;23(5):835-42. doi: 10.1097/00003246-199505000-00010.","Wong HR","Crit Care Med","1995","1995/05/01","","","10.1097/00003246-199505000-00010"
"24297672","Vasopressin as an adjunct therapy for pulmonary hypertension: a case report","Malikiwi A, Sasi A, Tan K, Sehgal A.","Eur J Pediatr. 2014 Dec;173(12):1651-4. doi: 10.1007/s00431-013-2225-y. Epub 2013 Dec 3.","Malikiwi A","Eur J Pediatr","2014","2013/12/04","","","10.1007/s00431-013-2225-y"
"14977894","Transient adrenocortical insufficiency of prematurity and systemic hypotension in very low birthweight infants","Ng PC, Lee CH, Lam CW, Ma KC, Fok TF, Chan IH, Wong E.","Arch Dis Child Fetal Neonatal Ed. 2004 Mar;89(2):F119-26. doi: 10.1136/adc.2002.021972.","Ng PC","Arch Dis Child Fetal Neonatal Ed","2004","2004/02/24","PMC1756043","","10.1136/adc.2002.021972"
"18843966","[Clinical characteristics of 7 patients with gestational diabetes insipidus]","Wu LQ, Xiong CQ, Wu M, Dong RL, Chen YQ, Gao J, Chen OJ, Huang YP.","Zhonghua Fu Chan Ke Za Zhi. 2008 Apr;43(4):266-8.","Wu LQ","Zhonghua Fu Chan Ke Za Zhi","2008","2008/10/11","","",""
"17312566","Beneficial effects of terlipressin in prolonged pediatric cardiopulmonary resuscitation: a case series","Matok I, Vardi A, Augarten A, Efrati O, Leibovitch L, Rubinshtein M, Paret G.","Crit Care Med. 2007 Apr;35(4):1161-4. doi: 10.1097/01.CCM.0000259377.64733.4C.","Matok I","Crit Care Med","2007","2007/02/22","","","10.1097/01.CCM.0000259377.64733.4C"
"12163092","Intermediate effects of treatment with metoprolol or carvedilol in children with left ventricular systolic dysfunction","Williams RV, Tani LY, Shaddy RE.","J Heart Lung Transplant. 2002 Aug;21(8):906-9. doi: 10.1016/s1053-2498(02)00384-4.","Williams RV","J Heart Lung Transplant","2002","2002/08/07","","","10.1016/s1053-2498(02)00384-4"
"12113327","Epinephrine treatment of hypotension in very low birthweight infants","Heckmann M, Trotter A, Pohlandt F, Lindner W.","Acta Paediatr. 2002;91(5):566-70. doi: 10.1080/080352502753711704.","Heckmann M","Acta Paediatr","2002","2002/07/13","","","10.1080/080352502753711704"
"6804068","A comparison of T4 and T7 dermatomal levels of analgesia for caesarean section using the lumbar epidural technique","Craft JB Jr, Roizen MF, Dao SD, Edwards M, Gilman R.","Can Anaesth Soc J. 1982 May;29(3):264-9. doi: 10.1007/BF03007128.","Craft JB Jr","Can Anaesth Soc J","1982","1982/05/01","","","10.1007/BF03007128"
"17003249","Effect of dopamine on vascular reactivity in near-term lamb carotids: role of the endothelium","Angeles DM, Pearce WJ.","Biol Res Nurs. 2006 Oct;8(2):97-103. doi: 10.1177/1099800406290653.","Angeles DM","Biol Res Nurs","2006","2006/09/28","","","10.1177/1099800406290653"
"10230477","[Use of double-lumen umbilical vein catheters in a neonatal intensive care unit]","Storme L, Ouali M, Ganga-Zandzou PS, Klosowski S, Rakza T, Fassler C, Haouari N, Kacet N, Lequien P.","Arch Pediatr. 1999 Apr;6(4):386-90. doi: 10.1016/s0929-693x(99)80219-x.","Storme L","Arch Pediatr","1999","1999/05/07","","","10.1016/s0929-693x(99)80219-x"
"10332005","Treatment of nephrogenic diabetes insipidus with hydrochlorothiazide and amiloride","Kirchlechner V, Koller DY, Seidl R, Waldhauser F.","Arch Dis Child. 1999 Jun;80(6):548-52. doi: 10.1136/adc.80.6.548.","Kirchlechner V","Arch Dis Child","1999","1999/05/20","PMC1717946","","10.1136/adc.80.6.548"
"9797845","Amelioration of polyuria in nephrogenic diabetes insipidus due to aquaporin-2 deficiency","Hochberg Z, Even L, Danon A.","Clin Endocrinol (Oxf). 1998 Jul;49(1):39-44. doi: 10.1046/j.1365-2265.1998.00426.x.","Hochberg Z","Clin Endocrinol (Oxf)","1998","1998/11/03","","","10.1046/j.1365-2265.1998.00426.x"
"3923176","Treatment of congestive heart failure by altering loading conditions of the heart","Friedman WF, George BL.","J Pediatr. 1985 May;106(5):697-706. doi: 10.1016/s0022-3476(85)80339-5.","Friedman WF","J Pediatr","1985","1985/05/01","","","10.1016/s0022-3476(85)80339-5"
"10448176","Mechanisms of blood pressure increase induced by dopamine in hypotensive preterm neonates","Zhang J, Penny DJ, Kim NS, Yu VY, Smolich JJ.","Arch Dis Child Fetal Neonatal Ed. 1999 Sep;81(2):F99-F104. doi: 10.1136/fn.81.2.f99.","Zhang J","Arch Dis Child Fetal Neonatal Ed","1999","1999/08/17","PMC1720986","","10.1136/fn.81.2.f99"
"18337742","Hydrocortisone administration for the treatment of refractory hypotension in critically ill newborns","Baker CF, Barks JD, Engmann C, Vazquez DM, Neal CR Jr, Schumacher RE, Bhatt-Mehta V.","J Perinatol. 2008 Jun;28(6):412-9. doi: 10.1038/jp.2008.16. Epub 2008 Mar 13.","Baker CF","J Perinatol","2008","2008/03/14","","","10.1038/jp.2008.16"
"3153321","Congenital nephrogenic diabetes insipidus-vasopressin and prostaglandins in response to treatment with hydrochlorothiazide and indomethacin","Rascher W, Rosendahl W, Henrichs IA, Maier R, Seyberth HW.","Pediatr Nephrol. 1987 Jul;1(3):485-90. doi: 10.1007/BF00849258.","Rascher W","Pediatr Nephrol","1987","1987/07/01","","","10.1007/BF00849258"
"23313567","Autonomic cardiovascular control in hypotensive critically ill preterm infants is impaired during the first days of life","Golder V, Hepponstall M, Yiallourou SR, Odoi A, Horne RS.","Early Hum Dev. 2013 Jun;89(6):419-23. doi: 10.1016/j.earlhumdev.2012.12.010. Epub 2013 Jan 11.","Golder V","Early Hum Dev","2013","2013/01/15","","","10.1016/j.earlhumdev.2012.12.010"
"2058612","The effect of low-dose dopamine infusion on cardiopulmonary and renal status in premature newborns with respiratory distress syndrome","Cuevas L, Yeh TF, John EG, Cuevas D, Plides RS.","Am J Dis Child. 1991 Jul;145(7):799-803.","Cuevas L","Am J Dis Child","1991","1991/07/01","","",""
"6496982","Maternal, fetal, and neonatal effects of lidocaine with and without epinephrine for epidural anesthesia in obstetrics","Abboud TK, David S, Nagappala S, Costandi J, Yanagi T, Haroutunian S, Yeh SU.","Anesth Analg. 1984 Nov;63(11):973-9.","Abboud TK","Anesth Analg","1984","1984/11/01","","",""
"9840847","Clonidine added to bupivacaine-epinephrine-sufentanil improves epidural analgesia during childbirth","Claes B, Soetens M, Van Zundert A, Datta S.","Reg Anesth Pain Med. 1998 Nov-Dec;23(6):540-7. doi: 10.1016/s1098-7339(98)90078-5.","Claes B","Reg Anesth Pain Med","1998","1998/12/05","","","10.1016/s1098-7339(98)90078-5"
"26012476","Arterial hypotension and prerenal failure in an extremely preterm infant associated with oral sildenafil","Balasubramanian H, Strunk T, Kohan R.","J Perinatol. 2015 Jun;35(6):458-9. doi: 10.1038/jp.2015.31.","Balasubramanian H","J Perinatol","2015","2015/05/28","","","10.1038/jp.2015.31"
"10356137","Single-dose dexamethasone treatment of hypotension in preterm infants","Gaissmaier RE, Pohlandt F.","J Pediatr. 1999 Jun;134(6):701-5. doi: 10.1016/s0022-3476(99)70284-2.","Gaissmaier RE","J Pediatr","1999","1999/06/04","","","10.1016/s0022-3476(99)70284-2"
"19026429","Blood pressure, anti-hypotensive therapy, and neurodevelopment in extremely preterm infants","Batton B, Zhu X, Fanaroff J, Kirchner HL, Berlin S, Wilson-Costello D, Walsh M.","J Pediatr. 2009 Mar;154(3):351-7, 357.e1. doi: 10.1016/j.jpeds.2008.09.017. Epub 2008 Nov 20.","Batton B","J Pediatr","2009","2008/11/26","","","10.1016/j.jpeds.2008.09.017"
"646154","Neurologic activity of infants following anesthesia for cesarean section","Hollmen AI, Jouppila R, Koivisto M, Maatta L, Pihlajaniemi R, Puukka M, Rantakyla P.","Anesthesiology. 1978 May;48(5):350-6. doi: 10.1097/00000542-197805000-00009.","Hollmen AI","Anesthesiology","1978","1978/05/01","","","10.1097/00000542-197805000-00009"
"15220768","Evidence that intravenous vasopressors can affect rostral spread of spinal anesthesia in pregnancy","Cooper DW, Jeyaraj L, Hynd R, Thompson R, Meek T, Ryall DM, Kokri MS.","Anesthesiology. 2004 Jul;101(1):28-33. doi: 10.1097/00000542-200407000-00007.","Cooper DW","Anesthesiology","2004","2004/06/29","","","10.1097/00000542-200407000-00007"
"9818116","Postoperative junctional ectopic tachycardia","Azzam FJ, Fiore AC.","Can J Anaesth. 1998 Sep;45(9):898-902. doi: 10.1007/BF03012227.","Azzam FJ","Can J Anaesth","1998","1998/11/18","","","10.1007/BF03012227"
"2486646","Bupivacaine/butorphanol/epinephrine for epidural anesthesia in obstetrics: maternal and neonatal effects","Abboud TK, Afrasiabi A, Zhu J, Mantilla M, Reyes A, D'Onofrio L, Khoo N, Mosaad P, Steffens Z, Davidson J, et al.","Reg Anesth. 1989 Sep-Oct;14(5):219-24.","Abboud TK","Reg Anesth","1989","1989/09/01","","",""
"3283314","Renal failure in sick hypertensive premature infants receiving captopril therapy","Tack ED, Perlman JM.","J Pediatr. 1988 May;112(5):805-10. doi: 10.1016/s0022-3476(88)83213-x.","Tack ED","J Pediatr","1988","1988/05/01","","","10.1016/s0022-3476(88)83213-x"
"17431678","Arginine-vasopressin as a rescue therapy in children and neonates for catecholamine-resistant shock","Meyer S, Gottschling S, Gortner L.","Eur J Pediatr. 2008 Mar;167(3):357; author reply 359. doi: 10.1007/s00431-007-0481-4. Epub 2007 Apr 12.","Meyer S","Eur J Pediatr","2008","2007/04/14","","","10.1007/s00431-007-0481-4"
"11207229","Refractory hypotension in preterm infants with adrenocortical insufficiency","Ng PC, Lam CW, Fok TF, Lee CH, Ma KC, Chan IH, Wong E.","Arch Dis Child Fetal Neonatal Ed. 2001 Mar;84(2):F122-4. doi: 10.1136/fn.84.2.f122.","Ng PC","Arch Dis Child Fetal Neonatal Ed","2001","2001/02/24","PMC1721214","","10.1136/fn.84.2.f122"
"18712427","ECMO for cardiac rescue in a neonate with accidental amiodarone overdose","Haas NA, Wegendt C, Schäffler R, Kirchner G, Welisch E, Kind K, Blanz U, Kececioglu D.","Clin Res Cardiol. 2008 Dec;97(12):878-81. doi: 10.1007/s00392-008-0700-7. Epub 2008 Aug 18.","Haas NA","Clin Res Cardiol","2008","2008/08/21","","","10.1007/s00392-008-0700-7"
"15526013","Prevalence of low cortisol values in term and near-term infants with vasopressor-resistant hypotension","Fernandez E, Schrader R, Watterberg K.","J Perinatol. 2005 Feb;25(2):114-8. doi: 10.1038/sj.jp.7211211.","Fernandez E","J Perinatol","2005","2004/11/05","","","10.1038/sj.jp.7211211"
"9024017","A comparison of the hemodynamic effects of amrinone and sodium nitroprusside in infants after cardiac surgery","Bailey JM, Miller BE, Kanter KR, Tosone SR, Tam VK.","Anesth Analg. 1997 Feb;84(2):294-8. doi: 10.1097/00000539-199702000-00010.","Bailey JM","Anesth Analg","1997","1997/02/01","","","10.1097/00000539-199702000-00010"
"26347436","A Novel Use of Methylene Blue in the Pediatric ICU","Rutledge C, Brown B, Benner K, Prabhakaran P, Hayes L.","Pediatrics. 2015 Oct;136(4):e1030-4. doi: 10.1542/peds.2014-3722. Epub 2015 Sep 7.","Rutledge C","Pediatrics","2015","2015/09/09","","","10.1542/peds.2014-3722"
"23034494","Beneficial effects of levosimendan in infants with sepsis-associated cardiac dysfunction: report of 2 cases","Papoff P, Caresta E, Versacci P, Pinto R, Moretti C, Midulla F.","Pediatr Emerg Care. 2012 Oct;28(10):1062-5. doi: 10.1097/PEC.0b013e31826cebe6.","Papoff P","Pediatr Emerg Care","2012","2012/10/05","","","10.1097/PEC.0b013e31826cebe6"
"6424420","Persistent pulmonary hypertension of the neonate (persistent fetal circulation syndrome)","Drummond WH.","Adv Pediatr. 1983;30:61-91.","Drummond WH","Adv Pediatr","1983","1983/01/01","","",""
"7411346","The pharmacologic treatment of newborn diaphragmatic hernia--a 2-year evaluation","Ein SH, Barker G, Olley P, Shandling B, Simpson JS, Stephens CA, Filler RM.","J Pediatr Surg. 1980 Aug;15(4):384-94. doi: 10.1016/s0022-3468(80)80741-x.","Ein SH","J Pediatr Surg","1980","1980/08/01","","","10.1016/s0022-3468(80)80741-x"
"12042566","Hydrocortisone in preterm infants","Heckmann M, Pohlandt F.","Pediatrics. 2002 Jun;109(6):1184-5; author reply 1184-5. doi: 10.1542/peds.109.6.1184.","Heckmann M","Pediatrics","2002","2002/06/04","","","10.1542/peds.109.6.1184"
"1170911","Variation in activity of monoamine metabolizing enzymes in rat liver during pregnancy","Parvez S, Parvez SH, Youdim MB.","Br J Pharmacol. 1975 Feb;53(2):241-6. doi: 10.1111/j.1476-5381.1975.tb07355.x.","Parvez S","Br J Pharmacol","1975","1975/02/01","PMC1666292","","10.1111/j.1476-5381.1975.tb07355.x"
"11921123","Tyrosine hydroxylase deficiency: clinical manifestations of catecholamine insufficiency in infancy","Grattan-Smith PJ, Wevers RA, Steenbergen-Spanjers GC, Fung VS, Earl J, Wilcken B.","Mov Disord. 2002 Mar;17(2):354-9. doi: 10.1002/mds.10095.","Grattan-Smith PJ","Mov Disord","2002","2002/03/29","","","10.1002/mds.10095"
"24705971","Inotrope use among extremely preterm infants in Canadian neonatal intensive care units: variation and outcomes","Wong J, Shah PS, Yoon EW, Yee W, Lee S, Dow K.","Am J Perinatol. 2015 Jan;32(1):9-14. doi: 10.1055/s-0034-1371703. Epub 2014 Apr 4.","Wong J","Am J Perinatol","2015","2014/04/08","","","10.1055/s-0034-1371703"
"21429058","Time-course effect of a single dose of hydrocortisone for refractory hypotension in preterm infants","Mizobuchi M, Yoshimoto S, Nakao H.","Pediatr Int. 2011 Dec;53(6):881-6. doi: 10.1111/j.1442-200X.2011.03372.x.","Mizobuchi M","Pediatr Int","2011","2011/03/25","","","10.1111/j.1442-200X.2011.03372.x"
"16799914","Gestational therapy with an angiotensin II receptor antagonist and transient renal failure in a premature infant","Bass JK, Faix RG.","Am J Perinatol. 2006 Jul;23(5):313-7. doi: 10.1055/s-2006-947162. Epub 2006 Jun 23.","Bass JK","Am J Perinatol","2006","2006/06/27","","","10.1055/s-2006-947162"
"18307552","Terlipressin as rescue treatment of refractory shock in a neonate","Filippi L, Poggi C, Serafini L, Fiorini P.","Acta Paediatr. 2008 Apr;97(4):500-2. doi: 10.1111/j.1651-2227.2008.00681.x. Epub 2008 Feb 27.","Filippi L","Acta Paediatr","2008","2008/03/01","","","10.1111/j.1651-2227.2008.00681.x"
"3089210","Clinical experience with systemic vasodilator therapy in the newborn infant","Butt W, Bohn D, Whyte H.","Aust Paediatr J. 1986 May;22(2):117-20. doi: 10.1111/j.1440-1754.1986.tb00201.x.","Butt W","Aust Paediatr J","1986","1986/05/01","","","10.1111/j.1440-1754.1986.tb00201.x"
"19223168","Hetastarch co-loading is as effective as pre-loading for the prevention of hypotension following spinal anesthesia for cesarean delivery","Carvalho B, Mercier FJ, Riley ET, Brummel C, Cohen SE.","Int J Obstet Anesth. 2009 Apr;18(2):150-5. doi: 10.1016/j.ijoa.2008.12.006. Epub 2009 Feb 14.","Carvalho B","Int J Obstet Anesth","2009","2009/02/19","","","10.1016/j.ijoa.2008.12.006"
"7999486","Spinal anaesthesia for caesarean section: comparison of infusions of phenylephrine and ephedrine","Hall PA, Bennett A, Wilkes MP, Lewis M.","Br J Anaesth. 1994 Oct;73(4):471-4. doi: 10.1093/bja/73.4.471.","Hall PA","Br J Anaesth","1994","1994/10/01","","","10.1093/bja/73.4.471"
"18353065","Late-onset circulatory dysfunction of premature infants and late-onset periventricular leukomalacia","Kobayashi S, Fujimoto S, Koyama N, Fukuda S, Iwaki T, Tanaka T, Kokubo M, Ohki S, Okanishi T, Togari H.","Pediatr Int. 2008 Apr;50(2):225-31. doi: 10.1111/j.1442-200X.2008.02564.x.","Kobayashi S","Pediatr Int","2008","2008/03/21","","","10.1111/j.1442-200X.2008.02564.x"
"15249756","Effects of inhaled corticosteroids on systemic blood pressure in preterm infants","Ng PC, Fok TF, Liu F, Lee CH, Ma KC, Wong E.","Biol Neonate. 2004;86(3):201-6. doi: 10.1159/000079615. Epub 2004 Jul 7.","Ng PC","Biol Neonate","2004","2004/07/14","","","10.1159/000079615"
"21292065","Terlipressin as rescue therapy for refractory pulmonary hypertension in a neonate with a congenital diaphragmatic hernia","Stathopoulos L, Nicaise C, Michel F, Thomachot L, Merrot T, Lagier P, Martin C.","J Pediatr Surg. 2011 Feb;46(2):e19-21. doi: 10.1016/j.jpedsurg.2010.10.006.","Stathopoulos L","J Pediatr Surg","2011","2011/02/05","","","10.1016/j.jpedsurg.2010.10.006"
"15283347","Practical use of alpha blockade strategy in the management of hypoplastic left heart syndrome following stage one palliation with a Blalock-Taussig shunt","De Oliveira NC, Van Arsdell GS.","Semin Thorac Cardiovasc Surg Pediatr Card Surg Annu. 2004;7:11-5. doi: 10.1053/j.pcsu.2004.02.018.","De Oliveira NC","Semin Thorac Cardiovasc Surg Pediatr Card Surg Annu","2004","2004/07/31","","","10.1053/j.pcsu.2004.02.018"
"8427431","A one-year evaluation of calcium channel blocker overdoses: toxicity and treatment","Ramoska EA, Spiller HA, Winter M, Borys D.","Ann Emerg Med. 1993 Feb;22(2):196-200. doi: 10.1016/s0196-0644(05)80202-1.","Ramoska EA","Ann Emerg Med","1993","1993/02/01","","","10.1016/s0196-0644(05)80202-1"
"1496180","[Transfusion risks and alternatives to transfusion]","de Stasio G.","Recenti Prog Med. 1992 Jun;83(6):321-9.","de Stasio G","Recenti Prog Med","1992","1992/06/01","","",""
"12892164","Hypercontractile heart failure caused by catecholamine therapy in premature neonates","Germanakis I, Bender C, Hentschel R, Braun K, Dittrich S, Kececioglu D.","Acta Paediatr. 2003 Jul;92(7):836-8. doi: 10.1080/08035250310002975.","Germanakis I","Acta Paediatr","2003","2003/08/02","","","10.1080/08035250310002975"
"21400728","[Intensive care for newborns and babies of the first year of life with acute heart failure after cardiosurgical interventions]","Lobacheva GV, Khar'kin AV, Manerova AF, Dzhobava ER.","Anesteziol Reanimatol. 2010 Sep-Oct;(5):23-7.","Lobacheva GV","Anesteziol Reanimatol","2010","2011/03/15","","",""
"19324371","Cerebral blood flow velocities in extremely low birth weight infants with hypotension and infants with normal blood pressure","Lightburn MH, Gauss CH, Williams DK, Kaiser JR.","J Pediatr. 2009 Jun;154(6):824-8. doi: 10.1016/j.jpeds.2009.01.006. Epub 2009 Mar 25.","Lightburn MH","J Pediatr","2009","2009/03/28","PMC2768562","NIHMS119518","10.1016/j.jpeds.2009.01.006"
"9797622","Randomised double blind trial of morphine versus diamorphine for sedation of preterm neonates","Wood CM, Rushforth JA, Hartley R, Dean H, Wild J, Levene MI.","Arch Dis Child Fetal Neonatal Ed. 1998 Jul;79(1):F34-9. doi: 10.1136/fn.79.1.f34.","Wood CM","Arch Dis Child Fetal Neonatal Ed","1998","1998/11/03","PMC1720807","","10.1136/fn.79.1.f34"
